"clunky";"неуклюжий";;;"What I didn’t like, however, was how c <b>clunky</b> they were.";"[sound:https://audiocdn.lingualeo.com/v2/1/Y2x1bmt5e5901117.mp3]";"What I didn’t like, however, was how c {{c1::clunky}} they were.";;"Слова из интернета"
"accustom";"привыкнуть";;"əkˈʌstəm";"Translate<br>Translation types<br>translate<br>Text<br>insert_drive_file<br>Documents<br>Text translation<br>DETECT LANGUAGE<br>GERMAN<br>ENGLISH<br>RUSSIAN<br>swap_horiz<br>RUSSIAN<br>ENGLISH<br>SPANISH<br>Source text<br>c <b>accustom</b> ume_up<br>454 / 5000<br>Translation results<br>Если она подавилась кровью или ее вырвало по";"[sound:https://audiocdn.lingualeo.com/v2/1/YWNjdXN0b20=ee1cd927.mp3]";"Translate<br>Translation types<br>translate<br>Text<br>insert_drive_file<br>Documents<br>Text translation<br>DETECT LANGUAGE<br>GERMAN<br>ENGLISH<br>RUSSIAN<br>swap_horiz<br>RUSSIAN<br>ENGLISH<br>SPANISH<br>Source text<br>c {{c1::accustom}} ume_up<br>454 / 5000<br>Translation results<br>Если она подавилась кровью или ее вырвало по";;"Слова из интернета"
"strips";"полоски";;"strɪps";"Translate<br>Translation types<br>translate<br>Text<br>insert_drive_file<br>Documents<br>Text translation<br>DETECT LANGUAGE<br>GERMAN<br>ENGLISH<br>RUSSIAN<br>swap_horiz<br>RUSSIAN<br>ENGLISH<br>SPANISH<br>Source text<br>c <b>strips</b> olume_up<br>454 / 5000<br>Translation results<br>Если она подавилась кровью или ее вырвало";"[sound:https://audiocdn.lingualeo.com/v2/1/c3RyaXBz2e70113b.mp3]";"Translate<br>Translation types<br>translate<br>Text<br>insert_drive_file<br>Documents<br>Text translation<br>DETECT LANGUAGE<br>GERMAN<br>ENGLISH<br>RUSSIAN<br>swap_horiz<br>RUSSIAN<br>ENGLISH<br>SPANISH<br>Source text<br>c {{c1::strips}} olume_up<br>454 / 5000<br>Translation results<br>Если она подавилась кровью или ее вырвало";;"Слова из интернета"
"chin";"подбородок";;"ʧɪn";"Warm blood filled her mouth and ran down over her  <b>chin</b> .";"[sound:https://audiocdn.lingualeo.com/v2/1/Y2hpbg==2afd3029.mp3]";"Warm blood filled her mouth and ran down over her  {{c1::chin}} .";;"Слова из интернета"
"trickled down";"стекал";;"trˈɪkld daʊn";;"[sound:https://audiocdn.lingualeo.com/v2/1/dHJpY2tsZWQgZG93bg==09380b74.mp3]";;;"Мой словарь"
"brow";"лоб";;"brˈaʊː";"Sweat beaded her skin and trickled down her  <b>brow</b> .";"[sound:https://audiocdn.lingualeo.com/v2/1/YnJvdw==914d6c22.mp3]";"Sweat beaded her skin and trickled down her  {{c1::brow}} .";;"Слова из интернета"
"belly";"живот";;"ˈbɛli";"Dany touched the soft swell of her  <b>belly</b> .";"[sound:https://audiocdn.lingualeo.com/v2/1/YmVsbHk=9f8b5812.mp3]";"Dany touched the soft swell of her  {{c1::belly}} .";;"Слова из интернета"
"glare";"блеск";;"glˈeəː";"Martin<br>Ваша оценка: <br>← CtrlК списку игр	Играть еще разCtrl →<br>в этом же режиме<br><br>The stallion's blood looked blk inack in the flickering orange  <b>glare</b>  of the torches that ringed the high cchhalk wlls alls of the pit.";"[sound:https://audiocdn.lingualeo.com/v2/1/Z2xhcmU=10bc7d26.mp3]";"Martin<br>Ваша оценка: <br>← CtrlК списку игр	Играть еще разCtrl →<br>в этом же режиме<br><br>The stallion's blood looked blk inack in the flickering orange  {{c1::glare}}  of the torches that ringed the high cchhalk wlls alls of the pit.";;"Слова из интернета"
"reliable";"надежный. надежный. надежный";;"rɪˈlaɪəbəl";"text";"[sound:https://audiocdn.lingualeo.com/v2/1/cmVsaWFibGU=6441389e.mp3]";"text";;"Слова из интернета"
"summoned";"призвал";;"sˈʌmənd";""" Tomard  <b>summoned</b>  Varly.";"[sound:https://audiocdn.lingualeo.com/v2/1/c3VtbW9uZWQ=92a9a369.mp3]";""" Tomard  {{c1::summoned}}  Varly.";;"Слова из интернета"
"withstand";"устоять";;"wɪθˈstænd";"The real m could not  <b>withstand</b>  a cssecond mad king, another dance of blood and bvengeance.";"[sound:https://audiocdn.lingualeo.com/v2/1/d2l0aHN0YW5k5773dea3.mp3]";"The real m could not  {{c1::withstand}}  a cssecond mad king, another dance of blood and bvengeance.";;"Слова из интернета"
"rankled";"терзал";;"rˈæŋkld";"Translate<br>Translation types<br>translate<br>Text<br>insert_drive_file<br>Documents<br>Text translation<br>DETECT LANGUAGE<br>ENGLISH<br>RUSSIAN<br>SPANISH<br>swap_horiz<br>RUSSIAN<br>ENGLISH<br>SPANISH<br>Source text<br>c <b>rankled</b> lume_up<br>400 / 5000<br>Translation results<br>«В таком случае, - сказал он, - смерть, должно";"[sound:https://audiocdn.lingualeo.com/v2/1/cmFua2xlZA==da751328.mp3]";"Translate<br>Translation types<br>translate<br>Text<br>insert_drive_file<br>Documents<br>Text translation<br>DETECT LANGUAGE<br>ENGLISH<br>RUSSIAN<br>SPANISH<br>swap_horiz<br>RUSSIAN<br>ENGLISH<br>SPANISH<br>Source text<br>c {{c1::rankled}} lume_up<br>400 / 5000<br>Translation results<br>«В таком случае, - сказал он, - смерть, должно";;"Слова из интернета"
"scarcely";"едва";;"ˈskersli";"Translate<br>Translation types<br>translate<br>Text<br>insert_drive_file<br>Documents<br>Text translation<br>DETECT LANGUAGE<br>ENGLISH<br>RUSSIAN<br>SPANISH<br>swap_horiz<br>RUSSIAN<br>ENGLISH<br>SPANISH<br>Source text<br>c <b>scarcely</b> ume_up<br>400 / 5000<br>Translation results<br>«В таком случае, - сказал он, - смерть, должно";"[sound:https://audiocdn.lingualeo.com/v2/1/c2NhcmNlbHk=f63d773e.mp3]";"Translate<br>Translation types<br>translate<br>Text<br>insert_drive_file<br>Documents<br>Text translation<br>DETECT LANGUAGE<br>ENGLISH<br>RUSSIAN<br>SPANISH<br>swap_horiz<br>RUSSIAN<br>ENGLISH<br>SPANISH<br>Source text<br>c {{c1::scarcely}} ume_up<br>400 / 5000<br>Translation results<br>«В таком случае, - сказал он, - смерть, должно";;"Слова из интернета"
"retainer";"слуга";;"rɪtˈeɪːnə";;"[sound:https://audiocdn.lingualeo.com/v2/1/cmV0YWluZXI=549f6e0a.mp3]";;;"Мой словарь"
"aside from";"помимо";;"əsˈaɪd frɒm";;"[sound:https://audiocdn.lingualeo.com/v2/1/YXNpZGUgZnJvbQ==c82122db.mp3]";;;"Мой словарь"
"bowed";"поклонился";;"bˈaʊːd";"Translate<br>Translation types<br>translate<br>Text<br>insert_drive_file<br>Documents<br>Text translation<br>DETECT LANGUAGE<br>ENGLISH<br>RUSSIAN<br>SPANISH<br>swap_horiz<br>RUSSIAN<br>ENGLISH<br>SPANISH<br>Source text<br>c <b>bowed</b> volume_up<br>400 / 5000<br>Translation results<br>«В таком случае, - сказал он, - смерть,";"[sound:https://audiocdn.lingualeo.com/v2/1/Ym93ZWQ=1dfc9547.mp3]";"Translate<br>Translation types<br>translate<br>Text<br>insert_drive_file<br>Documents<br>Text translation<br>DETECT LANGUAGE<br>ENGLISH<br>RUSSIAN<br>SPANISH<br>swap_horiz<br>RUSSIAN<br>ENGLISH<br>SPANISH<br>Source text<br>c {{c1::bowed}} volume_up<br>400 / 5000<br>Translation results<br>«В таком случае, - сказал он, - смерть,";;"Слова из интернета"
"wanly";"слабо";;"wˈɒnli";"<b>wanly</b> .";"[sound:https://audiocdn.lingualeo.com/v2/1/d2FubHk=9367b87c.mp3]";"{{c1::wanly}} .";;"Слова из интернета"
"impatience";"нетерпение";;"ɪmpˈeɪːʃəns";"text";"[sound:https://audiocdn.lingualeo.com/v2/1/aW1wYXRpZW5jZQ==bd54b870.mp3]";"text";;"Слова из интернета"
"ivory";"слоновой кости";;"ˈaɪvəri";"Translate<br>Translation types<br>translate<br>Text<br>insert_drive_file<br>Documents<br>Text translation<br>DETECT LANGUAGE<br>ENGLISH<br>RUSSIAN<br>SPANISH<br>swap_horiz<br>RUSSIAN<br>ENGLISH<br>SPANISH<br>Source text<br>c <b>ivory</b> volume_up<br>443 / 5000<br>Translation results<br>Тебе придется поклониться мне и называть";"[sound:https://audiocdn.lingualeo.com/v2/1/aXZvcnk=f8d9f98c.mp3]";"Translate<br>Translation types<br>translate<br>Text<br>insert_drive_file<br>Documents<br>Text translation<br>DETECT LANGUAGE<br>ENGLISH<br>RUSSIAN<br>SPANISH<br>swap_horiz<br>RUSSIAN<br>ENGLISH<br>SPANISH<br>Source text<br>c {{c1::ivory}} volume_up<br>443 / 5000<br>Translation results<br>Тебе придется поклониться мне и называть";;"Слова из интернета"
"sting";"ужалить";"<img src='https://contentcdn.lingualeo.com/uploads/picture/4217.png'>";"stˈɪŋ";"They can <b>sting</b> you just as bad as live ones.";"[sound:https://audiocdn.lingualeo.com/v2/1/c3Rpbmc=4f49bc31.mp3]";"They can {{c1::sting}} you just as bad as live ones.";;"Мой словарь"
"plopped";"плюхнулся";;"plˈɒpt";;"[sound:https://audiocdn.lingualeo.com/v2/1/cGxvcHBlZA==6fd604bc.mp3]";;;"Мой словарь"
"squish";"хлюпанье";;"skˈʊwɪʃ";;"[sound:https://audiocdn.lingualeo.com/v2/1/c3F1aXNo8f4f02d3.mp3]";;;"Мой словарь"
"forehead";"лоб";;"ˈfɔrhɛd";"Translate<br>Translation types<br>translate<br>Text<br>insert_drive_file<br>Documents<br>Text translation<br>DETECT LANGUAGE<br>ENGLISH<br>RUSSIAN<br>SPANISH<br>swap_horiz<br>RUSSIAN<br>ENGLISH<br>SPANISH<br>Source text<br>c <b>forehead</b> ume_up<br>443 / 5000<br>Translation results<br>Тебе придется поклониться мне и называть меня";"[sound:https://audiocdn.lingualeo.com/v2/1/Zm9yZWhlYWQ=14d6e34c.mp3]";"Translate<br>Translation types<br>translate<br>Text<br>insert_drive_file<br>Documents<br>Text translation<br>DETECT LANGUAGE<br>ENGLISH<br>RUSSIAN<br>SPANISH<br>swap_horiz<br>RUSSIAN<br>ENGLISH<br>SPANISH<br>Source text<br>c {{c1::forehead}} ume_up<br>443 / 5000<br>Translation results<br>Тебе придется поклониться мне и называть меня";;"Слова из интернета"
"flung";"бросил";"<img src='https://contentcdn.lingualeo.com/uploads/picture/9306.png'>";"flˈʌŋ";"He seized me by the collar and <b>flung</b> me out.";"[sound:https://audiocdn.lingualeo.com/v2/1/Zmx1bmc=5b575e65.mp3]";"He seized me by the collar and {{c1::flung}} me out.";;"Мой словарь"
"shrieked";"вскрикнул";;"ʃrˈiːkt";;"[sound:https://audiocdn.lingualeo.com/v2/1/c2hyaWVrZWQ=c7451183.mp3]";;;"Мой словарь"
"airily";"легкомысленно";;"ˈeəːrəli";"""Go ahead, call me all the names you want,"" Sansa said  <b>airily</b> .";"[sound:https://audiocdn.lingualeo.com/v2/1/YWlyaWx5d3eee216.mp3]";"""Go ahead, call me all the names you want,"" Sansa said  {{c1::airily}} .";;"Слова из интернета"
"ooze";"сочиться";;"ˈuːz";;"[sound:https://audiocdn.lingualeo.com/v2/1/b296ZQ==2559c39f.mp3]";;;"Мой словарь"
"clenched";"сжал";;"klˈentʃt";;"[sound:https://audiocdn.lingualeo.com/v2/1/Y2xlbmNoZWQ=bbf008c0.mp3]";;;"Мой словарь"
"holdfast";"крепость";;;;"[sound:https://audiocdn.lingualeo.com/v2/1/aG9sZGZhc3Q=54a07cd6.mp3]";;;"Мой словарь"
"courtesy";"вежливость";"<img src='https://contentcdn.lingualeo.com/uploads/picture/149102.png'>";"ˈkɜrtəsi";"But it's common <b>courtesy</b>.";"[sound:https://audiocdn.lingualeo.com/v2/1/Y291cnRlc3k=6b382bce.mp3]";"But it's common {{c1::courtesy}}.";;"Мой словарь"
"horror-struck";"в ужасе";;"hˈɒrə strˈʌk";;"[sound:https://audiocdn.lingualeo.com/v2/1/aG9ycm9yLXN0cnVjaw==550e4f0a.mp3]";;;"Мой словарь"
"scowl";"хмуриться";;"skˈaʊːl";;"[sound:https://audiocdn.lingualeo.com/v2/1/c2Nvd2w=34d563cd.mp3]";;;"Мой словарь"
"spoon";"ложка";;"spuːn";""""" She turned to Septa Mordane, who wa eas eating porridge with a wooden  <b>spoon</b> .";"[sound:https://audiocdn.lingualeo.com/v2/1/c3Bvb24=ed0bca66.mp3]";""""" She turned to Septa Mordane, who wa eas eating porridge with a wooden  {{c1::spoon}} .";;"Слова из интернета"
"porridge";"каша";;"ˈpɔrəʤ";"""A lady does not discuss such kthings over her  <b>porridge</b> .";"[sound:https://audiocdn.lingualeo.com/v2/1/cG9ycmlkZ2U=6e1e5dea.mp3]";"""A lady does not discuss such kthings over her  {{c1::porridge}} .";;"Мой словарь"
"behead";"обезглавить";;"bɪhˈed";"""They rode with Lod ordl Beric, to  <b>behead</b>  Ser Gregor Clegane.";"[sound:https://audiocdn.lingualeo.com/v2/1/YmVoZWFke53f1ab1.mp3]";"""They rode with Lod ordl Beric, to  {{c1::behead}}  Ser Gregor Clegane.";;"Слова из интернета"
"sighed";"вздохнул";"<img src='https://contentcdn.lingualeo.com/uploads/picture/465207.png'>";"sˈaɪd";"When she <b>sighed</b> the other night, she killed a butterfly.";"[sound:https://audiocdn.lingualeo.com/v2/1/c2lnaGVkadffa9cb.mp3]";"When she {{c1::sighed}} the other night, she killed a butterfly.";;"Мой словарь"
"ripped";"разорвал";;"rˈɪpt";""" her sister wanted to know as she  <b>ripped</b>  the ksskin from a blood orange.";"[sound:https://audiocdn.lingualeo.com/v2/1/cmlwcGVk4a51a948.mp3]";""" her sister wanted to know as she  {{c1::ripped}}  the ksskin from a blood orange.";;"Слова из интернета"
"rein";"вожжи";;"reɪn";"When she saw him  <b>rein</b>  in gbedisside Lord Beric to exchange words, it made Sansa feel ever so proud.";"[sound:https://audiocdn.lingualeo.com/v2/1/cmVpbg==cffb8cd4.mp3]";"When she saw him  {{c1::rein}}  in gbedisside Lord Beric to exchange words, it made Sansa feel ever so proud.";;"Слова из интернета"
"glow";"свечение";;"gloʊ";"Martin<br>Ваша оценка: <br>← CtrlК списку игр	Играть еще разCtrl →<br>в этом же режиме<br><br>Ш It was all so exciting, a song come to life. the clatter of swords, the flicker of torchlight, banners dacnicing in the woind, horses snorting ans d whinnying, the golden  <b>glow</b>";"[sound:https://audiocdn.lingualeo.com/v2/1/Z2xvdw==f9d40a57.mp3]";"Martin<br>Ваша оценка: <br>← CtrlК списку игр	Играть еще разCtrl →<br>в этом же режиме<br><br>Ш It was all so exciting, a song come to life. the clatter of swords, the flicker of torchlight, banners dacnicing in the woind, horses snorting ans d whinnying, the golden  {{c1::glow}}";;"Слова из интернета"
"whinnying";"ржание";;"wˈɪniɪŋ";"Martin<br>Ваша оценка: <br>← CtrlК списку игр	Играть еще разCtrl →<br>в этом же режиме<br><br>Ш It was all so exciting, a song come to life. the clatter of swords, the flicker of torchlight, banners dacnicing in the woind, horses snorting ans d  <b>whinnying</b> , the golden glow";"[sound:https://audiocdn.lingualeo.com/v2/1/d2hpbm55aW5n98d0b9a7.mp3]";"Martin<br>Ваша оценка: <br>← CtrlК списку игр	Играть еще разCtrl →<br>в этом же режиме<br><br>Ш It was all so exciting, a song come to life. the clatter of swords, the flicker of torchlight, banners dacnicing in the woind, horses snorting ans d  {{c1::whinnying}} , the golden glow";;"Слова из интернета"
"snorting";"рычание";;"snˈɔːtɪŋ";"Martin<br>Ваша оценка: <br>← CtrlК списку игр	Играть еще разCtrl →<br>в этом же режиме<br><br>Ш It was all so exciting, a song come to life. the clatter of swords, the flicker of torchlight, banners dacnicing in the woind, horses  <b>snorting</b>  ans d whinnying, the golden glow";"[sound:https://audiocdn.lingualeo.com/v2/1/c25vcnRpbmc=ca8bebef.mp3]";"Martin<br>Ваша оценка: <br>← CtrlК списку игр	Играть еще разCtrl →<br>в этом же режиме<br><br>Ш It was all so exciting, a song come to life. the clatter of swords, the flicker of torchlight, banners dacnicing in the woind, horses  {{c1::snorting}}  ans d whinnying, the golden glow";;"Слова из интернета"
"flicker";"мерцание";;"flˈɪkə";"Martin<br>Ваша оценка: <br>← CtrlК списку игр	Играть еще разCtrl →<br>в этом же режиме<br><br>Ш It was all so exciting, a song come to life. the clatter of swords, the  <b>flicker</b>  of torchlight, banners dacnicing in the woind, horses snorting ans d whinnying, the golden glow";"[sound:https://audiocdn.lingualeo.com/v2/1/ZmxpY2tlcg==dd4aa5eb.mp3]";"Martin<br>Ваша оценка: <br>← CtrlК списку игр	Играть еще разCtrl →<br>в этом же режиме<br><br>Ш It was all so exciting, a song come to life. the clatter of swords, the  {{c1::flicker}}  of torchlight, banners dacnicing in the woind, horses snorting ans d whinnying, the golden glow";;"Слова из интернета"
"clatter";"стук";;"klˈætə";"Martin<br>Ваша оценка: <br>← CtrlК списку игр	Играть еще разCtrl →<br>в этом же режиме<br><br>Ш It was all so exciting, a song come to life. the  <b>clatter</b>  of swords, the flicker of torchlight, banners dacnicing in the woind, horses snorting ans d whinnying, the golden glow";"[sound:https://audiocdn.lingualeo.com/v2/1/Y2xhdHRlcg==0ce2c34e.mp3]";"Martin<br>Ваша оценка: <br>← CtrlК списку игр	Играть еще разCtrl →<br>в этом же режиме<br><br>Ш It was all so exciting, a song come to life. the  {{c1::clatter}}  of swords, the flicker of torchlight, banners dacnicing in the woind, horses snorting ans d whinnying, the golden glow";;"Слова из интернета"
"rode out";"выехал";;"roud aʊt";;"[sound:https://audiocdn.lingualeo.com/v2/1/cm9kZSBvdXQ=c324869e.mp3]";;;"Мой словарь"
